countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
HTI,Haiti,,national,,2025-11-04,SURVEY,8316907,0.6996372478686778,7105267,0.5977113185529351,,,9452261,0.7951457687404464
HTI,Haiti,,national,,2025-11-03,SURVEY,8289039,0.6972929219550537,7203375,0.6059643880069882,,,9358825,0.7872857605265985
HTI,Haiti,,national,,2025-11-02,SURVEY,8411083,0.7075595545586386,7303025,0.614347174029498,,,9334868,0.785270478182908
HTI,Haiti,,national,,2025-11-01,SURVEY,8423449,0.7085998107838681,7254721,0.6102837310186469,,,9322996,0.784271774594949
HTI,Haiti,,national,,2025-10-31,SURVEY,8341970,0.7017456047786843,7225973,0.6078654095641584,,,9297994,0.782168524544059
HTI,Haiti,,national,,2025-10-30,SURVEY,8367192,0.7038673371325201,7225186,0.6077991792356582,,,9373814,0.7885466887595121
HTI,Haiti,,national,,2025-10-29,SURVEY,8369679,0.7040765492633579,7270886,0.6116435678079482,,,9333481,0.7851537894133217
HTI,Haiti,,national,,2025-10-28,SURVEY,8358742,0.7031565037969436,7255399,0.6103407659300695,,,9352562,0.7867589231740101
HTI,Haiti,,national,,2025-10-27,SURVEY,8430757,0.7092145703841092,7274529,0.6119500253039843,,,9325426,0.7844761776315343
HTI,Haiti,,national,,2025-10-26,SURVEY,8547640,0.7190470357997539,7213043,0.6067776822896337,,,9330614,0.7849126127502769
HTI,Haiti,,national,,2025-10-25,SURVEY,8539666,0.7183762446733768,7225742,0.6078459512279162,,,9286204,0.7811767196783946
HTI,Haiti,,national,,2025-10-24,SURVEY,8495303,0.7146443276004556,7166643,0.60287440811558,,,9329561,0.7848240269286684
HTI,Haiti,,national,,2025-10-23,SURVEY,8616422,0.7248331350290592,7113612,0.5984133190482471,,,9227505,0.7762388452840202
HTI,Haiti,,national,,2025-10-22,SURVEY,8636489,0.726521265511821,7177874,0.6038191855347351,,,9171938,0.7715644127428861
HTI,Haiti,,national,,2025-10-21,SURVEY,8650819,0.7277267391451354,7109911,0.5981019824594934,,,9190527,0.7731281449720544
HTI,Haiti,,national,,2025-10-20,SURVEY,8542384,0.7186048890527965,7095844,0.596918634230907,,,9201727,0.7740703225152145
HTI,Haiti,,national,,2025-10-04,SURVEY,8183858,0.6884447525490729,7035964,0.59188139161146,,,9347550,0.7863370083635485
HTI,Haiti,,national,,2025-09-04,SURVEY,8398453,0.7064970839850007,6936106,0.5834811081529976,,,8751342,0.736182907838651
HTI,Haiti,,national,,2025-08-04,SURVEY,8152282,0.6857886161681691,7309940,0.6149288796526355,,,9116921,0.7669362561678463
HTI,Haiti,,national,,2025-07-04,SURVEY,7717512,0.6492147689127094,7169815,0.6031412440138579,,,8841965,0.7438063282842015
HTI,Haiti,,national,,2025-06-04,SURVEY,8115680,0.6827095721742313,7489344,0.6300207546509531,,,8952552,0.7531091597731255
HTI,Haiti,,national,,2025-05-04,SURVEY,8248732,0.6939022108683306,7421505,0.6243139827394524,,,8775047,0.7381770393362088
HTI,Haiti,,national,,2025-04-04,SURVEY,8549463,0.7192003907312043,7465469,0.6280123350193683,,,9325613,0.7844916150333501
HTI,Haiti,Artibonite,subnational,1881984,2026-04-14,SURVEY,1432517,0.7611738463238795,1345983,0.7151936467047542,,,1515302,0.8051619992518535
HTI,Haiti,Centre,subnational,812958,2026-04-14,SURVEY,627643,0.7720484945101715,476256,0.5858310023396043,,,554599,0.6821988343801277
HTI,Haiti,Grande'Anse,subnational,510172,2026-04-14,SURVEY,410115,0.8038759477195926,354195,0.6942658554369899,,,410115,0.8038759477195926
HTI,Haiti,Nippes,subnational,373151,2026-04-14,SURVEY,318767,0.8542573917797353,251864,0.6749653625476015,,,302064,0.8094953517476839
HTI,Haiti,North,subnational,1162594,2026-04-14,SURVEY,815385,0.7013497403220729,677657,0.5828836205932596,,,788166,0.677937439897333
HTI,Haiti,North-East,subnational,429192,2026-04-14,SURVEY,332884,0.775606255475405,278878,0.6497744599153757,,,332464,0.7746276724636061
HTI,Haiti,North-West,subnational,793970,2026-04-14,SURVEY,650144,0.8188520976863106,539152,0.6790584027104298,,,673777,0.8486177059586634
HTI,Haiti,South,subnational,844267,2026-04-14,SURVEY,491803,0.5825206954671922,322983,0.38256025641177493,,,670876,0.7946253969419627
HTI,Haiti,South-East,subnational,689163,2026-04-14,SURVEY,559596,0.8119936792892247,402849,0.5845482128320876,,,539409,0.7827016250146918
HTI,Haiti,West,subnational,4390005,2026-04-14,SURVEY,3343546,0.7616269229761697,2524801,0.5751248574887728,,,3407486,0.7761918266607896
HTI,Haiti,Artibonite,subnational,1881984,2026-04-13,SURVEY,1432517,0.7611738463238795,1345983,0.7151936467047542,,,1515302,0.8051619992518535
HTI,Haiti,Centre,subnational,812958,2026-04-13,SURVEY,628041,0.7725380646970692,476885,0.5866047200470381,,,556528,0.6845716506879815
HTI,Haiti,Grande'Anse,subnational,510172,2026-04-13,SURVEY,399828,0.7837121598206096,359522,0.7047074320033244,,,403581,0.7910685023874301
HTI,Haiti,Nippes,subnational,373151,2026-04-13,SURVEY,333840,0.8946512269831783,244079,0.6541024947005368,,,291767,0.7819006246800893
HTI,Haiti,North,subnational,1162594,2026-04-13,SURVEY,800251,0.688332298291579,660831,0.568410812373021,,,812342,0.6987323175588382
HTI,Haiti,North-East,subnational,429192,2026-04-13,SURVEY,333276,0.7765195996197506,279127,0.6503546198437995,,,332678,0.7751262838077131
HTI,Haiti,North-West,subnational,793970,2026-04-13,SURVEY,655812,0.8259909064574228,525771,0.6622051211002935,,,678448,0.854500799778329
HTI,Haiti,South,subnational,844267,2026-04-13,SURVEY,496754,0.5883849540488969,321516,0.38082265444462476,,,666806,0.7898046471080831
HTI,Haiti,South-East,subnational,689163,2026-04-13,SURVEY,558301,0.8101145882759231,401831,0.5830710586610134,,,538946,0.782029795563604
